	[Battleaxe] 6.0
BLACKMARKET: 337493	{21.05.2022 11:20}
	[Polehammer] 7.0
CAERLEON: 122222	{21.05.2022 11:27}
BLACKMARKET: 144995	{21.05.2022 11:20}
	[Polehammer] 7.1
CAERLEON: 288987	{21.05.2022 11:27}
BLACKMARKET: 333309	{21.05.2022 11:21}
	[Polehammer] 7.2
CAERLEON: 888878	{21.05.2022 11:28}
BLACKMARKET: 833893	{21.05.2022 11:21}
	[Polehammer] 8.0
CAERLEON: 301944	{21.05.2022 11:28}
BLACKMARKET: 329979	{21.05.2022 11:21}
	[Polehammer] 8.1
CAERLEON: 699997	{21.05.2022 11:28}
BLACKMARKET: 759995	{21.05.2022 11:21}
	[Polehammer] 8.2
CAERLEON: -1	{21.05.2022 11:28}
BLACKMARKET: -1	{21.05.2022 11:21}
	[Tombhammer] 6.0
CAERLEON: 78990	{21.05.2022 11:28}
BLACKMARKET: 82995	{21.05.2022 11:21}
	[Tombhammer] 6.1
CAERLEON: 114998	{21.05.2022 11:28}
BLACKMARKET: 144962	{21.05.2022 11:21}
	[Tombhammer] 6.2
CAERLEON: 369996	{21.05.2022 11:28}
BLACKMARKET: 409891	{21.05.2022 11:21}
	[Tombhammer] 7.0
CAERLEON: 178984	{21.05.2022 11:28}
BLACKMARKET: 191222	{21.05.2022 11:21}
	[Tombhammer] 7.1
CAERLEON: 380608	{21.05.2022 11:28}
BLACKMARKET: 366996	{21.05.2022 11:21}
	[Tombhammer] 7.2
CAERLEON: 1199994	{21.05.2022 11:28}
BLACKMARKET: 900000	{21.05.2022 11:21}
	[Tombhammer] 8.0
CAERLEON: 465000	{21.05.2022 11:28}
BLACKMARKET: 594000	{21.05.2022 11:21}
	[Tombhammer] 8.1
CAERLEON: 1111097	{21.05.2022 11:28}
BLACKMARKET: 1087952	{21.05.2022 11:21}
	[Tombhammer] 8.2
CAERLEON: 2999999	{21.05.2022 11:28}
BLACKMARKET: 3000000	{21.05.2022 11:21}
